ちょっと待って下さい,🇯🇵 Just a moment please.
やぁ!,🇯🇵 hey!
どうしたの,🇯🇵 What's up?
ごきげんよう？,🇯🇵 How do you do?
ちょしわどう？,🇯🇵 How are you?
ようこそ,🇯🇵 Welcome
絵文字 (えもじ),🇯🇵 Emoji
どういたしまして,🇯🇵 You are welcome
いただきます,🇯🇵 Guten Appetit
わんわん！,🇯🇵 *Doggy!*
ブーブー,🇯🇵 *car*
ポンポンいたい。,🇯🇵 *My tummy hurts.*
だめ！,🇯🇵 No!
もう？,🇯🇵 Already?
悲しい! (かなしい),🇯🇵 [I'm] sad!
美味しい？ (おいしい),🇯🇵 delicious?
行く? (いく),🇯🇵 Are you gonna go?
食べる？ (たべる),🇯🇵 Do you want some (food)?
ただいま,🇯🇵 used when returning home
お帰りなさい (おかえりなさい),🇯🇵 welcome home
うそ！,🇯🇵 🇯🇵 Just kidding!
何が一体,🇯🇵 What the heck
用心 (ようじん),🇯🇵 caution
いいねー!,🇯🇵 How nice!
