"tu va bien?","Alles fit bei dir?","","",""
"bon appétit!","Guten Appetit!","","",""
"très bon!","Super lecker!","","",""
"c'est fou","Das ist verrückt!","","",""
"Qu'est-ce qu'il y a?","Was gibt's?","","",""
"Parfait!","Perfekt!","","",""
"J'ai juste rigolé!","War nur Spaß!","","",""
"Est-ce que tu parle Anglais?","Sprichst du Englisch?","","",""
"Où est la toilette?","Wo ist die Toilette?","","",""
"Tu étais où?","Wo warst du?","","",""
"trop mignon/mignonne","So süß!","","",""
"L'addition s'il vous plaît!","Können wir zahlen?","","",""
"Gardez la monnaie!","Stimmt so","","",""
"Bienvenu!","Wilkommen!","","",""
"Est-ce que on doit aller boire un café?","Sollen wir einen Kaffee trinken gehen?","","",""
"C'est combien?","Wieviel kostet das?","","",""
"Je ne comprends pas.","Ich verstehe das nicht.","","",""
"Est-ce que tu peut répéter ca?","Könntest du das bitte wiederholen?","","",""
"Je ne veux pas?","Ich will das nicht.","","",""
"On y va!","Los geht's!","","",""
"Je suis repu!","Ich bin satt.","","",""
"Un café s'il vous plaît!","Einen Kaffee bitte.","","",""
"Je n'ai pas d'argent.","Ich habe kein Geld.","","",""
"C'est qui?","Wer ist das?","","",""
"Où est-ce que on doit aller?","Wo sollen wir hingehen?","","",""
"Un moment.","Einen Moment.","","",""
"Tous va bien?","Alles in Ordnung?","","",""
"Tu as du feu? / Tu as un briquet?","Hast du Feuer?","","",""
"Je peut t'aider?","Kann ich dir helfen?","","",""
"à toute de suite!","Bis dann!","","",""
"Au secours!","Hilfe!","","",""
"Joyeux anniversaire!/ Mes meilleurs voeux!","Alles Gute!","","",""
"Je suis fatigué.","Ich bin müde.","","",""
"Zut!","Verdammt!","","",""
"cool!","Cool!","","",""
"J'ai la gueule de bois.","Ich habe einen Kater.","","",""
"Bonne rétablissement!","Gute Besserung","","",""
