"Hur är det med dig?","Alles fit bei dir?"
"Hur är läget?","Was gibt's?"
"Pratar du engelska?","Sprichst du Englisch?"
"jättegott!","Super lecker!"
"Var finns toaletten?","Wo ist die Toilette?"
"Kan jag få notan, tack.","Können wir zahlen?"
"Välkommen!","Wilkommen!"
"Vad kostar det?","Wieviel kostet das?"
"Jag förstår inte.","Ich verstehe das nicht."
"Nu sticker vi!","Los geht's!"
"Jag är mätt.","Ich bin satt."
"Vem är det?","Wer ist das?"
"Ett ögonblick","Einen Moment."
"Är det bra med dig?","Alles in Ordnung?"
"Kan jag hjälpa dig?","Kann ich dir helfen?"
"Vi ses!","Bis dann!"
"Hjälp!","Hilfe!"
"Grattis!","Alles Gute!"
"Krya på dig","Gute Besserung"
"Var så god","Bitte"
