"เป็นไงบ้าง?","🇹🇭 Alles fit bei dir?"
"ว่าไง?","🇹🇭 Was gibt's?"
"คุณพูดภาษาอังกฤษได้หรือเปล่า?","🇹🇭 Sprichst du Englisch?"
"อร่อยจัง","🇹🇭 Super lecker!"
"บ้าไปแล้ว!","🇹🇭 Das ist verrückt!"
"ล้อเล่น","🇹🇭 War nur Spaß!"
"ห้องน้ำอยู่ที่ไหน [ ค่ะ (f) / ครับ (m) ]?","🇹🇭 Wo ist die Toilette?"
"ไปไหนมา?","🇹🇭 Wo warst du?"
"ยินดีต้อนรับ","🇹🇭 Wilkommen!"
"อันนี้ราคาเท่าไหร่ [ ค่ะ (f) / ครับ (m) ]?","🇹🇭 Wieviel kostet das?"
"ไปกันเถอะ","🇹🇭 Los geht's!"
"กาแฟที่นึง [ ค่ะ (f) / ครับ (m) ]","🇹🇭 Einen Kaffee bitte."
"ไม่มีเงิน","🇹🇭 Ich habe kein Geld."
"นั่นใครน่ะ?","🇹🇭 Wer ist das?"
"ไปไหนกันดี?","🇹🇭 Wo sollen wir hingehen?"
"แปปนึง","🇹🇭 Einen Moment."
"โอเคมั้ย?","🇹🇭 Alles in Ordnung?"
"มีอะไรให้ช่วยมั้ย?","🇹🇭 Kann ich dir helfen?"
"แล้วเจอกัน!","🇹🇭 Bis dann!"
"ช่วยด้วย!","🇹🇭 Hilfe!"
