"tu va bien?","🇫🇷 How are you doing?","","",""
"Qu'est-ce qu'il y a?","🇫🇷 What's up?","","",""
"bon appétit!","🇫🇷 Enjoy your meal!","","",""
"Est-ce que tu parles Anglais?","🇫🇷 Do you speak English?","","",""
"très bon!","🇫🇷 Delicious!","","",""
"J'ai juste rigolé!","🇫🇷 Just kidding!","","",""
"Où est la toilette?","🇫🇷 Where is the bathroom?","","",""
"Je dois aller à la toilette!","🇫🇷 I need to go to the bathroom.","","",""
"Tu étais où?","🇫🇷 Where have you been?","","",""
"L'addition s'il vous plaît!","🇫🇷 The bill, please.","","",""
"Bienvenu!","🇫🇷 Welcome!","","",""
"C'est combien?","🇫🇷 How much is this?","","",""
"Je ne comprends pas.","🇫🇷 I don't understand.","","",""
"Est-ce que tu peut répéter ca?","🇫🇷 Could you repeat that, please?","","",""
"On y va!","🇫🇷 Let's go!","","",""
"Je suis repu!","🇫🇷 I am full.","","",""
"Un moment.","🇫🇷 Just a second. / Hold on.","","",""
"Tous va bien?","🇫🇷 Everything alright?","","",""
"Je peut t'aider?","🇫🇷 Can I help you?","","",""
"Au secours!","🇫🇷 Help!","","",""
