"Hur är det med dig?","🇸🇪 How are you doing?"
"jättegott!","🇸🇪 Delicious!"
"Vad snäll!","🇸🇪 That's nice!"
"Skoja bara!","🇸🇪 Just kidding!"
"Var var du?","🇸🇪 Where have you been?"
"Kan jag få notan, 🇸🇪 tack.","The bill, please."
"Vad kostar det?","🇸🇪 How much is this?"
"Jag förstår inte.","🇸🇪 I don't understand."
"Kan du upprepa det där, 🇸🇪 tack?","Could you repeat that, please?"
"Nu sticker vi!","🇸🇪 Let's go!"
"Vem är det?","🇸🇪 Who is that?"
"Ett ögonblick","🇸🇪 Just a second. / Hold on."
"Är det bra med dig?","🇸🇪 Everything alright?"
"Kan jag hjälpa dig?","🇸🇪 Can I help you?"
"Vi ses!","🇸🇪 See ya!"
"Hjälp!","🇸🇪 Help!"
"Grattis!","🇸🇪 Congratulations!"
"Jag orkar inte","🇸🇪 I'm tired."
"Fy fan!","🇸🇪 Damn it!"
"Kul!","🇸🇪 Awesome!"
